CustomerID,Lookalikes
C0001,"[['C0069', 0.8731639418392209], ['C0127', 0.8473286968035748], ['C0035', 0.8219193825575327]]"
C0002,"[['C0062', 0.9122119805658684], ['C0134', 0.9082742413786273], ['C0133', 0.8806962832792085]]"
C0003,"[['C0166', 0.9738271418807909], ['C0031', 0.8926108746936162], ['C0129', 0.7795027764794533]]"
C0004,"[['C0065', 0.8932522999911735], ['C0012', 0.8519897707375826], ['C0113', 0.8257608072070035]]"
C0005,"[['C0197', 0.9977244761718446], ['C0007', 0.937582561517378], ['C0095', 0.9081767958472957]]"
C0006,"[['C0185', 0.8820782821015887], ['C0196', 0.8503296466685243], ['C0187', 0.8363203319263363]]"
C0007,"[['C0005', 0.937582561517378], ['C0197', 0.9120018387052324], ['C0140', 0.9089646807092306]]"
C0008,"[['C0162', 0.929831863960032], ['C0113', 0.8848059629937953], ['C0098', 0.8111513810891571]]"
C0009,"[['C0083', 0.9186836639736878], ['C0198', 0.9181011558672362], ['C0077', 0.9175274804790227]]"
C0010,"[['C0077', 0.9128322662870553], ['C0083', 0.8977235060246148], ['C0030', 0.848778919418971]]"
C0011,"[['C0126', 0.9543147117893933], ['C0153', 0.810976921927881], ['C0070', 0.777485719506904]]"
C0012,"[['C0065', 0.9728300305672392], ['C0104', 0.8869083188661376], ['C0136', 0.8760411669327552]]"
C0013,"[['C0105', 0.942862552231285], ['C0016', 0.842280533324845], ['C0183', 0.8390651783432374]]"
C0014,"[['C0151', 0.9963711736416705], ['C0097', 0.9878258328371357], ['C0060', 0.9804239913503288]]"
C0015,"[['C0123', 0.9802924959788517], ['C0014', 0.9272572620689019], ['C0071', 0.9086667896765308]]"
C0016,"[['C0183', 0.9998932815805249], ['C0107', 0.9878704916113301], ['C0105', 0.8932462480700301]]"
C0017,"[['C0075', 0.9513524244611017], ['C0090', 0.9384216419968864], ['C0194', 0.9222605753239457]]"
C0018,"[['C0168', 0.8411099359811329], ['C0148', 0.8157329631535588], ['C0023', 0.7700399730132104]]"
C0019,"[['C0191', 0.9272969770175143], ['C0174', 0.8135437290364912], ['C0070', 0.7123967111452534]]"
C0020,"[['C0110', 0.9426967275908664], ['C0078', 0.940060556533578], ['C0080', 0.9398504647681459]]"
